12:04:51.668184|   DEBUG|            Ptr:137 |byte is \010 (0x08)
12:04:51.668315|   DEBUG|            Ptr:137 |byte is \002 (0x02)
12:04:51.668444|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.668574|   DEBUG|            Ptr:137 |byte is \222 (0x92)
12:04:51.668705|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.668835|   DEBUG|            Ptr:137 |byte is \002 (0x02)
12:04:51.668965|   DEBUG|            Ptr:137 |byte is \210 (0x88)
12:04:51.669095|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.669226|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.669464|   DEBUG|            Ptr:137 |byte is \220 (0x90)
12:04:51.669603|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.669734|   DEBUG|            Ptr:137 |byte is \003 (0x03)
12:04:51.669863|   DEBUG|            Ptr:137 |byte is \210 (0x88)
12:04:51.669993|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.670122|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.670252|   DEBUG|            Ptr:137 |byte is \223 (0x93)
12:04:51.670382|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.670512|   DEBUG|            Ptr:137 |byte is \004 (0x04)
12:04:51.670642|   DEBUG|            Ptr:137 |byte is \020 (0x10)
12:04:51.670772|   DEBUG|            Ptr:137 |byte is \116 (0x4e)
12:04:51.670901|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.671031|   DEBUG|            Ptr:137 |byte is \005 (0x05)
12:04:51.671161|   DEBUG|            Ptr:137 |byte is \040 (0x20)
12:04:51.671291|   DEBUG|            Ptr:137 |byte is \217 (0x8f)
12:04:51.671421|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.671551|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.671681|   DEBUG|            Ptr:137 |byte is \140 (0x60)
12:04:51.671811|   DEBUG|            Ptr:137 |byte is \217 (0x8f)
12:04:51.671940|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.672069|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.672199|   DEBUG|            Ptr:137 |byte is \050 (0x28)
12:04:51.672327|   DEBUG|            Ptr:137 |byte is \217 (0x8f)
12:04:51.672457|   DEBUG|            Ptr:137 |byte is \140 (0x60)
12:04:51.672586|   DEBUG|            Ptr:137 |byte is \217 (0x8f)
12:04:51.672836|   DEBUG|            Ptr:137 |byte is \140 (0x60)
12:04:51.672969|   DEBUG|            Ptr:137 |byte is \225 (0x95)
