11:18:42.614457|   DEBUG|            Ptr:117 |byte is \116 (0x4e)
11:18:42.614666|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.614874|   DEBUG|            Ptr:117 |byte is \005 (0x05)
11:18:42.615083|   DEBUG|            Ptr:117 |byte is \040 (0x20)
11:18:42.615291|   DEBUG|            Ptr:117 |byte is \217 (0x8f)
11:18:42.615500|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.615708|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.615917|   DEBUG|            Ptr:117 |byte is \140 (0x60)
11:18:42.616124|   DEBUG|            Ptr:117 |byte is \217 (0x8f)
11:18:42.616333|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.616650|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.616865|   DEBUG|            Ptr:117 |byte is \050 (0x28)
11:18:42.617073|   DEBUG|            Ptr:117 |byte is \217 (0x8f)
11:18:42.617282|   DEBUG|            Ptr:117 |byte is \140 (0x60)
11:18:42.617490|   DEBUG|            Ptr:117 |byte is \217 (0x8f)
11:18:42.617698|   DEBUG|            Ptr:117 |byte is \140 (0x60)
11:18:42.617906|   DEBUG|            Ptr:117 |byte is \225 (0x95)
11:18:42.618115|   DEBUG|            Ptr:117 |byte is \060 (0x30)
11:18:42.618331|   DEBUG|            Ptr:117 |byte is \225 (0x95)
11:18:42.618549|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.618764|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.618980|   DEBUG|            Ptr:117 |byte is \140 (0x60)
11:18:42.619199|   DEBUG|            Ptr:117 |byte is \225 (0x95)
11:18:42.619421|   DEBUG|            Ptr:117 |byte is \060 (0x30)
11:18:42.619639|   DEBUG|            Ptr:117 |byte is \225 (0x95)
11:18:42.619914|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.620131|   DEBUG|            Ptr:117 |byte is \006 (0x06)
11:18:42.620340|   DEBUG|            Ptr:117 |byte is \070 (0x38)
11:18:42.620548|   DEBUG|            Ptr:117 |byte is \214 (0x8c)
11:18:42.620757|   DEBUG|            Ptr:117 |byte is \140 (0x60)
11:18:42.620965|   DEBUG|            Ptr:117 |byte is \223 (0x93)
11:18:42.621173|   DEBUG|            Ptr:117 |byte is \110 (0x48)
11:18:42.621381|   DEBUG|            Ptr:117 |byte is \221 (0x91)
11:18:42.621590|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.621798|   DEBUG|            Ptr:117 |byte is \221 (0x91)
11:18:42.622007|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.622214|   DEBUG|            Ptr:117 |byte is \007 (0x07)
11:18:42.622423|   DEBUG|            Ptr:117 |byte is \010 (0x08)
11:18:42.622631|   DEBUG|            Ptr:117 |byte is \123 (0x53)
11:18:42.622840|   DEBUG|            Ptr:117 |byte is \120 (0x50)
11:18:42.623048|   DEBUG|            Ptr:117 |byte is \226 (0x96)
11:18:42.623372|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.623584|   DEBUG|            Ptr:117 |byte is \230 (0x98)
11:18:42.623793|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.624001|   DEBUG|            Ptr:117 |byte is \010 (0x08)
11:18:42.624211|   DEBUG|            Ptr:117 |byte is \010 (0x08)
11:18:42.624419|   DEBUG|            Ptr:117 |byte is \123 (0x53)
11:18:42.624628|   DEBUG|            Ptr:117 |byte is \130 (0x58)
11:18:42.624836|   DEBUG|            Ptr:117 |byte is \227 (0x97)
11:18:42.625045|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.625253|   DEBUG|            Ptr:117 |byte is \231 (0x99)
11:18:42.625463|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.625670|   DEBUG|            Ptr:117 |byte is \011 (0x09)
11:18:42.625879|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.626087|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.626296|   DEBUG|            Ptr:117 |byte is \150 (0x68)
11:18:42.626504|   DEBUG|            Ptr:117 |byte is \221 (0x91)
11:18:42.626829|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.627038|   DEBUG|            Ptr:117 |byte is \221 (0x91)
11:18:42.627247|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.627456|   DEBUG|            Ptr:117 |byte is \012 (0x0a)
11:18:42.627664|   DEBUG|            Ptr:117 |byte is \140 (0x60)
11:18:42.627872|   DEBUG|            Ptr:117 |byte is \223 (0x93)
11:18:42.628081|   DEBUG|            Ptr:117 |byte is \150 (0x68)
11:18:42.628289|   DEBUG|            Ptr:117 |byte is \221 (0x91)
11:18:42.628498|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.628706|   DEBUG|            Ptr:117 |byte is \220 (0x90)
11:18:42.628914|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.629122|   DEBUG|            Ptr:117 |byte is \013 (0x0b)
11:18:42.629331|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.629539|   DEBUG|            Ptr:117 |byte is \010 (0x08)
11:18:42.629748|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.630070|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.630281|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.630490|   DEBUG|            Ptr:117 |byte is \004 (0x04)
11:18:42.630699|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.630907|   DEBUG|            Ptr:117 |byte is \221 (0x91)
11:18:42.631116|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.631324|   DEBUG|            Ptr:117 |byte is \014 (0x0c)
11:18:42.631533|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.631741|   DEBUG|            Ptr:117 |byte is \002 (0x02)
11:18:42.631950|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.632158|   DEBUG|            Ptr:117 |byte is \224 (0x94)
11:18:42.632367|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.632579|   DEBUG|            Ptr:117 |byte is \015 (0x0d)
11:18:42.632789|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.632997|   DEBUG|            Ptr:117 |byte is \003 (0x03)
11:18:42.633320|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.633536|   DEBUG|            Ptr:117 |byte is \223 (0x93)
11:18:42.633746|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.633954|   DEBUG|            Ptr:117 |byte is \016 (0x0e)
11:18:42.634163|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.634371|   DEBUG|            Ptr:117 |byte is \004 (0x04)
11:18:42.634580|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.634788|   DEBUG|            Ptr:117 |byte is \220 (0x90)
11:18:42.634997|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.635205|   DEBUG|            Ptr:117 |byte is \017 (0x0f)
11:18:42.635414|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.635622|   DEBUG|            Ptr:117 |byte is \005 (0x05)
11:18:42.635831|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.636039|   DEBUG|            Ptr:117 |byte is \221 (0x91)
11:18:42.636248|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.636456|   DEBUG|            Ptr:117 |byte is \020 (0x10)
11:18:42.636782|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.637110|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.637332|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.637541|   DEBUG|            Ptr:117 |byte is \006 (0x06)
11:18:42.637750|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.637958|   DEBUG|            Ptr:117 |byte is \220 (0x90)
11:18:42.638167|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.638375|   DEBUG|            Ptr:117 |byte is \021 (0x11)
11:18:42.638584|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.638792|   DEBUG|            Ptr:117 |byte is \010 (0x08)
11:18:42.639001|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.639209|   DEBUG|            Ptr:117 |byte is \020 (0x10)
11:18:42.639417|   DEBUG|            Ptr:117 |byte is \010 (0x08)
11:18:42.639625|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.639834|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.640160|   DEBUG|            Ptr:117 |byte is \011 (0x09)
11:18:42.640371|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.640579|   DEBUG|            Ptr:117 |byte is \220 (0x90)
11:18:42.640787|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.640996|   DEBUG|            Ptr:117 |byte is \022 (0x12)
11:18:42.641204|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.641412|   DEBUG|            Ptr:117 |byte is \030 (0x18)
11:18:42.641621|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.641829|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.642038|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.642245|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.642454|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.642662|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.642871|   DEBUG|            Ptr:117 |byte is \220 (0x90)
11:18:42.643079|   DEBUG|            Ptr:117 |byte is \214 (0x8c)
11:18:42.643404|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.643616|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.643826|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.644033|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.644242|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.644449|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.644658|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.644865|   DEBUG|            Ptr:117 |byte is \002 (0x02)
11:18:42.645073|   DEBUG|            Ptr:117 |byte is \377 (0xff)
11:18:42.645281|   DEBUG|            Ptr:117 |byte is \377 (0xff)
11:18:42.645489|   DEBUG|            Ptr:117 |byte is \377 (0xff)
11:18:42.645696|   DEBUG|            Ptr:117 |byte is \376 (0xfe)
11:18:42.645904|   DEBUG|            Ptr:117 |byte is \377 (0xff)
11:18:42.646115|   DEBUG|            Ptr:117 |byte is \376 (0xfe)
11:18:42.646324|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.646640|   DEBUG|            Ptr:117 |byte is \157 (0x6f)
11:18:42.646856|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.647064|   DEBUG|            Ptr:117 |byte is \334 (0xdc)
11:18:42.647272|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.647480|   DEBUG|            Ptr:117 |byte is \177 (0x7f)
11:18:42.647688|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.647895|   DEBUG|            Ptr:117 |byte is \217 (0x8f)
11:18:42.648103|   DEBUG|            Ptr:117 |byte is \121 (0x51)
11:18:42.648310|   DEBUG|            Ptr:117 |byte is \103 (0x43)
11:18:42.648519|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.648726|   DEBUG|            Ptr:117 |byte is \377 (0xff)
11:18:42.648934|   DEBUG|            Ptr:117 |byte is \377 (0xff)
11:18:42.649143|   DEBUG|            Ptr:117 |byte is \377 (0xff)
